Locus,Category
AT2G13790,Immunity
AT2G14610,Immunity
AT2G19190,Immunity
AT2G29100,Immunity
AT2G37710,Immunity
AT2G39530,Immunity
AT2G39660,Immunity
AT2G42360,Immunity
AT3G03640,Immunity
AT3G07390,Immunity
AT3G11340,Immunity
AT3G51660,Immunity
AT3G52450,Immunity
AT4G04490,Immunity
AT4G11170,Immunity
AT4G22470,Immunity
AT4G23150,Immunity
AT4G31800,Immunity
AT4G39030,Immunity
AT5G05190,Immunity
AT5G13320,Immunity
AT5G26920,Immunity
AT5G44390,Immunity
AT5G52810,Immunity
AT1G19670,Susceptibility
AT1G26770,Susceptibility
AT1G29690,Susceptibility
AT1G32640,Susceptibility
AT1G61560,Susceptibility
AT1G75080,Susceptibility
AT2G02220,Susceptibility
AT2G34070,Susceptibility
AT3G20770,Susceptibility
AT3G28007,Susceptibility
AT3G46510,Susceptibility
AT3G61190,Susceptibility
AT4G12720,Susceptibility
AT4G18470,Susceptibility
AT4G20380,Susceptibility
AT4G23600,Susceptibility
AT4G24240,Susceptibility
AT4G26080,Susceptibility
AT4G33680,Susceptibility
AT4G34590,Susceptibility
AT4G35580,Susceptibility
AT5G09230,Susceptibility
AT5G23820,Susceptibility
AT5G24530,Susceptibility
AT5G39670,Susceptibility
AT5G57050,Susceptibility
AT5G59310,Susceptibility
AT5G59320,Susceptibility
AT5G61900,Susceptibility
AT5G64930,Susceptibility
